,created:,tough one,,
make,kaltrae/mek/mekem/mekemap/mekemgud/mekemsua/mekfani/mekful/meksua/mektrabol/paselem/waesem,mekim,wokim,
male,kokgras/misi/misie/nambas,,man,
man,haosboe/mista,man,man/manmeri,
manager,maneja,,menaga,
mango,manggo,,mango,
march,maj,,mas,
market,maket/maketples,,bung/maket,
married,mared,,marit,
marry,maredem,,maritim,
matches,majes/mases,,masis,
may,mei,,me,
mean,,minim,min,
meat,mit,,mit/abus,
mechanic,makanik,,mekenik,
medicine,meresin,,marasin,
meet,mitim/mitmitim,,bungim/painim,
meeting,miting/nakamal,,kibung/kivung/miting,
melon,melen,,melen,
message,mesej,,tok,
metre,meta,,mita,
middle,medel/medelbus,midol,namel,
midnight,medelnaet,,biknait,
milk,melek//susu,,susu,
millimetre,milimita,,milimita,
minute,minit,,minit,
mirror,mira,,glas bilong lukluk,
mission,mission,,misin,
missionary,mis/misinari,,misinare,
mistake,mistek,,i no stret,
mix,miks/miksimap,,miksim,
monday,mande,,mande,
money,mane,selen,mani,
month,manis,,mun,
moon,mun,,mun,mun
morning,moning/moningkakae,,moningtaim,
mosquito,moskito/mostik/mustik,,natnat/moskito,
mother,mama,,mama/mama/mami,ama
mountain,hil,hil/maonden,maunten,il
mouse,maos/smolrat,,liklik rat,
moustache,mustas,,mausgras,
mouth,maot/mosek,,maut/maus,
muffler,mafla,,mafla,
mushroom,masrum/sompiniong,,papai,
music,miusik/myusik,,musik or sing sing,
must,mas/masbi,,mas,
name,nem/eks/nemem/nemsek,nem,nem,
navel,nabuton/nambuton,,hap bel,
near,klosap,,klosap,
neck,nek,,nek,
need,nid/nidim/nitim,nid/nidim,nidim/laikim,
nest,nes,,haus bilong pisin,
new,5u/bethel/bluwota/bonane/kaldoni/kaledoni/nananara/navilae/niu/niufala/niugini/niuhebridis/niukaldoni/niukaledoni/niumun/niusilan/niutestamen/niuyam/niuyia/nzaid,niu/niufala,niupela/nupela,
newspaper,niuspepa,,niuspepa,
night,nat/namb~on/naet,dak/naet/tudak,nait,nait
nine,naen,,nain/nainpela,
ninety,naenti,,nainti/nainpela ten,
no,/nogud/nomata/nomo,nomoa,nogat,launga
noise,noes,,nois,
noodles,nudel,,ol nudal,
north,not/notis/notkos/notwes,,not,
nose,nus,nos,nus,nos
not,nambahaf/nogat/wanpis,,no,
nothing,nating,,i nogat samting/nogat,
notice,notis,,toksave,
november,novemba,,novemba,
now,naoia,distaem/nau ba/nau,nau,
number,namba,,namba,
october,oktoba,,oktoba,
octopus,nakwita/nawita,,,sugu
office,ofis,,opis/ofis,
officer,ofisa,,ofisa,
oil,oel/oelem/oelkan/oelpam/oelston,,wel,
ointment,pomad,,gris,
old,olfala/oltestamen,,olpela/lapun/ lapun,olpela,
on,gogo,,antap long,
one,wan/wanfala/wansaed/wanwei,wan,wan/wanpela/wan/wanpela,wan
onion,anian,,anien,
only,,nomoa/seleva,tasol,
open,blusi/medelsi/openem,,op/opim/i op i stap,
opposite,narasaed,,arasait,
or,afsaed,,no,
orange,aranis,,switmuli,
order,oda/odarem,,oda/odaim,
other,/narafala/narafalaman/narakaen/naraman/narataem/narawan/narawoman,,narapela/arapela,
outside,afsaed,,ausait,
over,longhaf/ova,finis,,
oyster,osta,,kina,
pain,soabodi,,pen,
paint,peintem/pentem,,pen/penim,
paper,pepa,,pepa,
parcel,pasel,,karamap,
parliament,palamen,,palamen,
parrot,blufis/,, koki,kalangal,
part,hafgraon/hafkas/hafples,,pat,
party,pati,,pati,
passenger,pasenja,,pasindia,
passport,paspot,,paspot,
path,rod/ahal/pat,rod,rot,
patient,sikman,,sikman/sikmeri,
peace,natamata/pis/temat,,gutpela taim,
peanut,pinat/pistas,,kasang/kalip,
pen,stilo,,pen,
pencil,pensel,,pensil,
penis,kok,,kok,
people,pipol/smolnambas,pipol,manmeri/pipel,pipel
pepper,pepastek/stekopoaf,,pepa/daka,
perfume,nandingori/senta,,sanda,
person,man/fala/dabolhed/martinike/pesen/puaman/suang,man,man/man/meri,age/kole/agey
pharmacy,famasi,,haus marasin,
photo,foto,,foto/poto/piksa,
picture,pija,,piksa,
piece,pis,,hap,
pig,hunggwe/nasukwe/sukwe,,pik,
pigeon,pijin/pijinpi,,pisin,
pillow,pilo,,pilo,
